id;btag;accountid;catid;partnerid;amount;memo;transferid;isUmbuchung
142;2004-05-20;1;7;122;100891;Diverses;;0
144;2004-06-01;1;11041;149;-1002;;;0
145;2004-06-09;1;11063;837;44994;Erstattung;;0
146;2004-06-16;1;2;122;700000;;;0
148;2004-06-28;1;2;122;780000;;;0
150;2004-06-30;1;8;122;3475;;;0
152;2004-06-30;1;2500;153;-174;;;0
153;2004-06-30;1;10015;121;-1213;;;0
154;2004-07-01;1;1000;125;551;;;0
155;2004-07-01;1;10015;125;0;;154;0
156;2004-07-01;1;2107;125;551;;154;0
157;2004-07-01;1;10054;125;0;;154;0
158;2004-07-01;1;10037;125;0;;154;0
159;2004-07-01;1;2500;125;0;;154;0
160;2004-07-01;1;10015;125;0;;154;0
161;2004-07-01;1;10015;125;0;;154;0
162;2004-07-02;1;10015;121;-2517;;;0
163;2004-07-03;1;1000;280;82047;;;0
164;2004-07-03;1;11066;280;70047;;163;0
165;2004-07-03;1;11069;280;12000;;163;0
166;2004-07-17;1;7;122;188446;;;0
168;2004-07-17;1;11063;837;111238;;;0
169;2004-07-22;1;7;122;30000;;;0
171;2004-08-03;1;1000;280;82047;;;0
172;2004-08-03;1;11066;280;70047;;171;0
173;2004-08-03;1;11069;280;12000;;171;0
175;2004-08-04;1;10015;159;250;Erstttung;;0
176;2004-08-16;1;2;122;100000;;;0
178;2004-08-17;1;7;122;110534;17.07 - 17.08;;0
181;2004-08-31;1;10009;160;4648;;;0
182;2004-09-03;1;1000;280;82047;;;0
183;2004-09-03;1;11066;280;70047;;182;0
184;2004-09-03;1;11069;280;12000;;182;0
185;2004-09-15;1;2;122;175000;;;0
187;2004-09-20;1;2;122;80000;;;0
190;2004-10-03;1;1000;280;82047;;;0
191;2004-10-03;1;11066;280;70047;;190;0
192;2004-10-03;1;11069;280;12000;;190;0
193;2004-10-15;1;2;122;150000;;;0
197;2004-11-03;1;1000;280;82047;;;0
198;2004-11-03;1;11066;280;70047;;197;0
199;2004-11-03;1;11069;280;12000;;197;0
200;2004-11-23;1;2;122;111826;;;0
202;2004-11-28;1;7;122;65500;Ausgaben - 27.11;;0
204;2004-12-03;1;1000;280;82047;;;0
205;2004-12-03;1;11066;280;70047;;204;0
206;2004-12-03;1;11069;280;12000;;204;0
207;2004-12-13;1;11054;162;6500;;;0
208;2004-12-14;1;11063;837;59432;DKV;;0
211;2004-12-24;1;10009;160;-83417;;;0
214;2004-12-31;1;1000;125;1976;;;0
215;2004-12-31;1;10015;125;0;;214;0
216;2004-12-31;1;2107;125;1976;;214;0
217;2004-12-31;1;10054;125;0;;214;0
218;2004-12-31;1;10037;125;0;;214;0
219;2004-12-31;1;2500;125;0;;214;0
220;2004-12-31;1;10015;125;0;;214;0
221;2004-12-31;1;10015;125;0;;214;0
222;2004-12-31;1;10015;121;-3660;;;0
223;2005-01-03;1;1000;280;82047;;;0
224;2005-01-03;1;11066;280;70047;;223;0
225;2005-01-03;1;11069;280;12000;;223;0
226;2005-01-14;1;2;122;280000;;;0
228;2005-01-15;1;7;122;53932;26.12.-14.01;;0
230;2005-01-20;1;11063;837;11872;DKV;;0
231;2005-02-03;1;1000;280;82047;;;0
232;2005-02-03;1;11066;280;70047;;231;0
233;2005-02-03;1;11069;280;12000;;231;0
234;2005-02-12;1;7;122;80085;15.01 - 11.02;;0
236;2005-02-15;1;2;122;280000;;;0
239;2005-03-03;1;1000;280;82047;;;0
240;2005-03-03;1;11066;280;70047;;239;0
241;2005-03-03;1;11069;280;12000;;239;0
243;2005-03-15;1;2;122;300000;;;0
245;2005-03-15;1;2;122;600000;;;0
247;2005-04-01;1;1000;125;-1991;;;0
248;2005-04-01;1;10015;125;0;;247;0
249;2005-04-01;1;2107;125;2669;;247;0
250;2005-04-01;1;10054;125;0;;247;0
251;2005-04-01;1;10037;125;0;;247;0
252;2005-04-01;1;2500;125;0;;247;0
253;2005-04-01;1;10015;125;0;;247;0
254;2005-04-01;1;10015;125;-4660;;247;0
255;2005-04-03;1;1000;280;82047;;;0
256;2005-04-03;1;11066;280;70047;;255;0
257;2005-04-03;1;11069;280;12000;;255;0
258;2005-04-15;1;2;122;140000;;;0
262;2005-05-03;1;1000;280;82047;;;0
263;2005-05-03;1;11066;280;70047;;262;0
264;2005-05-03;1;11069;280;12000;;262;0
266;2005-05-08;1;7;122;96360;25.03-07.05;;0
268;2005-05-13;1;2;122;70000;;;0
270;2005-05-22;1;7;122;112758;08.05 - 21.05 incl. Verrechnung;;0
272;2005-05-23;1;1000;124;245387;;;0
273;2005-05-23;1;11067;124;150000;;272;0
274;2005-05-23;1;11039;124;95387;;272;0
275;2005-05-29;1;5;122;395871;;;0
277;2005-06-03;1;1000;280;82047;;;0
278;2005-06-03;1;11066;280;70047;;277;0
279;2005-06-03;1;11069;280;12000;;277;0
282;2005-07-01;1;1000;125;-4408;;;0
283;2005-07-01;1;10015;125;0;;282;0
284;2005-07-01;1;2107;125;0;;282;0
285;2005-07-01;1;10054;125;0;;282;0
286;2005-07-01;1;10037;125;0;;282;0
287;2005-07-01;1;2500;125;0;;282;0
288;2005-07-01;1;10015;125;0;;282;0
289;2005-07-01;1;10015;125;-4408;;282;0
290;2005-07-01;1;1000;125;1574;;;0
291;2005-07-01;1;10015;125;0;;290;0
292;2005-07-01;1;2107;125;1574;;290;0
293;2005-07-01;1;10054;125;0;;290;0
294;2005-07-01;1;10037;125;0;;290;0
295;2005-07-01;1;2500;125;0;;290;0
296;2005-07-01;1;10015;125;0;;290;0
297;2005-07-01;1;10015;125;0;;290;0
298;2005-07-03;1;1000;280;82047;;;0
299;2005-07-03;1;11066;280;70047;;298;0
300;2005-07-03;1;11069;280;12000;;298;0
301;2005-07-09;1;7;122;338403;22.05-08.07;;0
303;2005-07-15;1;2;122;150000;;;0
305;2005-07-23;1;5;122;270397;;;0
307;2005-08-03;1;1000;280;82047;;;0
308;2005-08-03;1;11066;280;70047;;307;0
309;2005-08-03;1;11069;280;12000;;307;0
310;2005-09-02;1;7;122;73033;10.08-02.09 incl Verrechnung;;0
312;2005-09-02;1;7;122;170071;Mastercard September;;0
314;2005-09-03;1;1000;280;82047;;;0
315;2005-09-03;1;11066;280;70047;;314;0
316;2005-09-03;1;11069;280;12000;;314;0
317;2005-10-03;1;1000;280;85047;;;0
318;2005-10-03;1;11066;280;70047;;317;0
319;2005-10-03;1;11069;280;15000;;317;0
320;2005-10-04;1;1000;125;-4106;;;0
321;2005-10-04;1;10015;125;0;;320;0
322;2005-10-04;1;2107;125;442;;320;0
323;2005-10-04;1;10054;125;0;;320;0
324;2005-10-04;1;10037;125;0;;320;0
325;2005-10-04;1;2500;125;0;;320;0
326;2005-10-04;1;10015;125;0;;320;0
327;2005-10-04;1;10015;125;-4548;;320;0
328;2005-10-15;1;7;122;313364;03.09-15.10 incl. Verrechnung Ulli;;0
330;2005-10-15;1;2;122;90000;;;0
332;2005-10-21;1;9;122;150000;;;0
334;2005-11-03;1;1000;280;85047;;;0
335;2005-11-03;1;11066;280;70047;;334;0
336;2005-11-03;1;11069;280;15000;;334;0
337;2005-11-17;1;2;122;270000;;;0
339;2005-11-24;1;2;122;480240;Kauf Allianz Aktien;;0
341;2005-12-01;1;11054;162;6530;;;0
342;2005-12-03;1;1000;280;85047;;;0
343;2005-12-03;1;11066;280;70047;;342;0
344;2005-12-03;1;11069;280;15000;;342;0
345;2005-12-03;1;10009;197;47046;;;0
347;2005-12-09;1;2;122;144068;;;0
349;2005-12-18;1;7;122;97596;verrechnung 13.10 - 18.12 incl ulli;;0
351;2005-12-31;1;7;122;27982;verrechnung 19.12. -30.12 incl. ulli;;0
353;2005-12-31;1;10009;160;-121739;;;0
354;2005-12-31;1;1000;125;89;;;0
355;2005-12-31;1;10015;125;0;;354;0
356;2005-12-31;1;2107;125;89;;354;0
357;2005-12-31;1;10054;125;0;;354;0
358;2005-12-31;1;10037;125;0;;354;0
359;2005-12-31;1;2500;125;0;;354;0
360;2005-12-31;1;10015;125;0;;354;0
361;2005-12-31;1;10015;125;0;;354;0
362;2005-12-31;1;1000;125;-4864;;;0
363;2005-12-31;1;10015;125;0;;362;0
364;2005-12-31;1;2107;125;0;;362;0
365;2005-12-31;1;10054;125;0;;362;0
366;2005-12-31;1;10037;125;0;;362;0
367;2005-12-31;1;2500;125;0;;362;0
368;2005-12-31;1;10015;125;0;;362;0
369;2005-12-31;1;10015;125;-4864;;362;0
374;2006-01-02;1;10038;174;2925;Frühstück SL3E und SL3B/D;;0
375;2006-01-03;1;1000;280;85047;;;0
376;2006-01-03;1;11066;280;70047;;375;0
377;2006-01-03;1;11069;280;15000;;375;0
378;2006-01-16;1;2;122;200000;;;0
380;2006-02-03;1;1000;280;85047;;;0
381;2006-02-03;1;11066;280;70047;;380;0
382;2006-02-03;1;11069;280;15000;;380;0
385;2006-02-17;1;8;122;100000;;;0
387;2006-02-26;1;7;122;166059;Verehnung 01.01.-25.02.;;0
389;2006-03-03;1;1000;280;85047;;;0
390;2006-03-03;1;11066;280;70047;;389;0
391;2006-03-03;1;11069;280;15000;;389;0
392;2006-03-15;1;2;122;100000;;;0
394;2006-04-03;1;1000;280;85047;;;0
395;2006-04-03;1;11066;280;70047;;394;0
396;2006-04-03;1;11069;280;15000;;394;0
399;2006-05-03;1;1000;280;85047;;;0
400;2006-05-03;1;11066;280;70047;;399;0
401;2006-05-03;1;11069;280;15000;;399;0
403;2006-05-12;1;5;122;304000;;;0
405;2006-05-13;1;7;122;155000;verrechn Feb - 12.05;;0
410;2006-06-03;1;1000;280;85047;;;0
411;2006-06-03;1;11066;280;70047;;410;0
412;2006-06-03;1;11069;280;15000;;410;0
413;2006-07-03;1;1000;280;85047;;;0
414;2006-07-03;1;11066;280;70047;;413;0
415;2006-07-03;1;11069;280;15000;;413;0
416;2006-07-14;1;2;122;200000;;;0
418;2006-07-26;1;2;122;240000;;;0
420;2006-08-03;1;1000;280;85047;;;0
421;2006-08-03;1;11066;280;70047;;420;0
422;2006-08-03;1;11069;280;15000;;420;0
423;2006-08-04;1;2;122;70000;;;0
425;2006-08-08;1;5;122;691071;;;0
427;2006-08-13;1;7;122;434291;Abrech. 12.05 - 12.08 incl. Verr;;0
429;2006-08-16;1;2;122;100000;;;0
431;2006-09-01;1;11069;280;-27079;NAchzahlung Furkel 2005;;0
432;2006-09-03;1;1000;280;85047;;;0
433;2006-09-03;1;11066;280;70047;;432;0
434;2006-09-03;1;11069;280;15000;;432;0
437;2006-09-15;1;2;122;80000;;;0
439;2006-09-17;1;7;122;176567;Abrech 01.09-15.09;;0
441;2006-09-30;1;1000;125;2567;;;0
442;2006-09-30;1;10015;125;0;;441;0
443;2006-09-30;1;2107;125;0;;441;0
444;2006-09-30;1;10054;125;2567;;441;0
445;2006-09-30;1;10037;125;0;;441;0
446;2006-09-30;1;2500;125;0;;441;0
447;2006-09-30;1;10015;125;0;;441;0
448;2006-09-30;1;10015;125;0;;441;0
449;2006-09-30;1;10015;181;-5575;;;0
450;2006-10-03;1;1000;280;85047;;;0
451;2006-10-03;1;11066;280;70047;;450;0
452;2006-10-03;1;11069;280;15000;;450;0
453;2006-10-13;1;7;122;302003;Abrechn. -13.10.;;0
455;2006-10-17;1;2;122;50000;;;0
459;2006-11-03;1;1000;280;85047;;;0
460;2006-11-03;1;11066;280;70047;;459;0
461;2006-11-03;1;11069;280;15000;;459;0
462;2006-11-12;1;7;122;43384;Abrech - 11.11;;0
464;2006-11-15;1;2;122;400000;;;0
466;2006-11-20;1;8;122;528391;;;0
469;2006-12-03;1;1000;280;85047;;;0
470;2006-12-03;1;11066;280;70047;;469;0
471;2006-12-03;1;11069;280;15000;;469;0
472;2006-12-03;1;9;122;276351;1822;;0
474;2006-12-03;1;10009;160;-393049;;;0
475;2006-12-07;1;8;122;220000;;;0
477;2006-12-13;1;2;122;100000;;;0
479;2006-12-17;1;7;122;43455;Abrech - 15.12.;;0
481;2006-12-31;1;10009;160;173438;;;0
482;2006-12-31;1;7;122;9392;Abrech - 31.12.2006;;0
484;2006-12-31;1;2107;847;4716;;;0
485;2006-12-31;1;1000;125;4297;;;0
486;2006-12-31;1;10015;125;0;;485;0
487;2006-12-31;1;2107;125;4297;;485;0
488;2006-12-31;1;10054;125;0;;485;0
489;2006-12-31;1;10037;125;0;;485;0
490;2006-12-31;1;2500;125;0;;485;0
491;2006-12-31;1;10015;125;0;;485;0
492;2006-12-31;1;10015;125;0;;485;0
493;2007-01-02;1;10015;181;-6269;;;0
494;2007-01-03;1;1000;280;85047;;;0
495;2007-01-03;1;11066;280;70047;;494;0
496;2007-01-03;1;11069;280;15000;;494;0
497;2007-01-03;1;10028;162;6400;;;0
498;2007-01-04;1;1000;125;-6269;;;0
499;2007-01-04;1;10015;125;0;;498;0
500;2007-01-04;1;2107;125;0;;498;0
501;2007-01-04;1;10054;125;0;;498;0
502;2007-01-04;1;10037;125;0;;498;0
503;2007-01-04;1;2500;125;0;;498;0
504;2007-01-04;1;10015;125;0;;498;0
505;2007-01-04;1;10015;125;-6269;;498;0
506;2007-01-15;1;2;122;210000;;;0
508;2007-01-20;1;7;122;256494;Abrechnung bis 19.01;;0
510;2007-02-03;1;1000;280;85047;;;0
511;2007-02-03;1;11066;280;70047;;510;0
512;2007-02-03;1;11069;280;15000;;510;0
513;2007-02-03;1;7;122;53986;Abrechnung bis 04.02.;;0
515;2007-02-06;1;5;122;20431;;;0
517;2007-02-14;1;7;122;569169;w/Kolbenschmidt;;0
519;2007-02-16;1;2;122;50000;;;0
521;2007-02-17;1;7;122;116913;Abrechnung bis 17.02;;0
525;2007-03-03;1;1000;280;85047;;;0
526;2007-03-03;1;11066;280;70047;;525;0
527;2007-03-03;1;11069;280;15000;;525;0
528;2007-03-10;1;7;122;34010;Abrechnung bis 09,03;;0
530;2007-03-15;1;2;122;1700000;;;0
532;2007-04-02;1;1000;125;5573;;;0
533;2007-04-02;1;10015;125;0;;532;0
534;2007-04-02;1;2107;125;5573;;532;0
535;2007-04-02;1;10054;125;0;;532;0
536;2007-04-02;1;10037;125;0;;532;0
537;2007-04-02;1;2500;125;0;;532;0
538;2007-04-02;1;10015;125;0;;532;0
539;2007-04-02;1;10015;125;0;;532;0
540;2007-04-02;1;10015;181;-6898;;;0
541;2007-04-03;1;1000;280;85047;;;0
542;2007-04-03;1;11066;280;70047;;541;0
543;2007-04-03;1;11069;280;15000;;541;0
544;2007-04-13;1;2;122;240000;;;0
546;2007-04-20;1;11039;124;185153;;;0
547;2007-04-21;1;7;122;33192;Abrechnung 09.03-20-04;;0
549;2007-04-28;1;10009;160;116063;ausgleichsbuchung;;0
550;2007-05-03;1;1000;280;85047;;;0
551;2007-05-03;1;11066;280;70047;;550;0
552;2007-05-03;1;11069;280;15000;;550;0
554;2007-05-05;1;7;122;125168;Abrechnung bis 05.05;;0
556;2007-05-14;1;7;122;246052;SGL-Verkauf;;0
559;2007-06-03;1;1000;280;85047;;;0
560;2007-06-03;1;11066;280;70047;;559;0
561;2007-06-03;1;11069;280;15000;;559;0
562;2007-06-10;1;7;122;202482;Abrechnung bis 09.06.;;0
564;2007-06-10;1;2;122;2000;;;0
566;2007-06-10;1;10009;160;-30000;;;0
567;2007-06-11;1;2;122;80000;;;0
569;2007-06-14;1;10009;160;55000;;;0
570;2007-06-16;1;7;122;707456;Postbank, Siemens;;0
572;2007-06-21;1;10009;160;20000;;;0
573;2007-06-22;1;7;122;14570;;;0
575;2007-06-23;1;7;122;1401425;;;0
577;2007-06-29;1;7;122;45378;Abrechung bis 29.06;;0
579;2007-07-03;1;1000;280;85047;;;0
580;2007-07-03;1;11066;280;70047;;579;0
581;2007-07-03;1;11069;280;15000;;579;0
582;2007-07-06;1;2;122;817868;;;0
585;2007-08-03;1;1000;280;85047;;;0
586;2007-08-03;1;11066;280;70047;;585;0
587;2007-08-03;1;11069;280;15000;;585;0
588;2007-08-08;1;2;122;400000;;;0
590;2007-08-17;1;7;122;410514;Abrechnunb bis 17.08;;0
592;2007-08-17;1;10009;160;-86941;;;0
593;2007-08-20;1;2;122;200000;;;0
595;2007-08-25;1;7;122;85346;Abrechung bis 25.08;;0
597;2007-09-03;1;1000;280;85047;;;0
598;2007-09-03;1;11066;280;70047;;597;0
599;2007-09-03;1;11069;280;15000;;597;0
600;2007-09-10;1;2;122;280000;;;0
602;2007-09-14;1;2;122;180000;;;0
604;2007-09-22;1;7;122;47448;Abrechnung bis 21.09;;0
606;2007-10-01;1;1000;125;-1886;;;0
607;2007-10-01;1;10015;125;0;;606;0
608;2007-10-01;1;2107;125;2784;;606;0
609;2007-10-01;1;10054;125;0;;606;0
610;2007-10-01;1;10037;125;0;;606;0
611;2007-10-01;1;2500;125;898;;606;0
612;2007-10-01;1;10015;125;0;;606;0
613;2007-10-01;1;10015;125;0;;606;0
614;2007-10-03;1;1000;280;85047;;;0
615;2007-10-03;1;11066;280;70047;;614;0
616;2007-10-03;1;11069;280;15000;;614;0
617;2007-10-03;1;7;122;250472;Abrechn bis 03.10;;0
619;2007-10-15;1;2;122;150000;;;0
621;2007-11-03;1;1000;280;85047;;;0
622;2007-11-03;1;11066;280;70047;;621;0
623;2007-11-03;1;11069;280;15000;;621;0
624;2007-11-06;1;11069;280;7795;NAchzahlung Furkel 2006;;0
625;2007-11-25;1;7;122;388151;Abrechnung bis 24.11;;0
627;2007-12-03;1;1000;280;86047;;;0
628;2007-12-03;1;11066;280;70047;;627;0
629;2007-12-03;1;11069;280;16000;;627;0
630;2007-12-05;1;7;122;390594;;;0
632;2007-12-05;1;2;122;90000;;;0
634;2007-12-07;1;7;122;171807;Abrech bis 06.12.;;0
636;2007-12-13;1;10009;189;2425;;;0
637;2007-12-18;1;2;122;120000;;;0
639;2007-12-31;1;1000;125;1110;;;0
640;2007-12-31;1;10015;125;0;;639;0
641;2007-12-31;1;2107;125;1623;;639;0
642;2007-12-31;1;10054;125;0;;639;0
643;2007-12-31;1;10037;125;0;;639;0
644;2007-12-31;1;2500;125;-513;;639;0
645;2007-12-31;1;10015;125;0;;639;0
646;2007-12-31;1;10015;125;0;;639;0
647;2008-01-03;1;1000;280;86047;;;0
648;2008-01-03;1;11066;280;70047;;647;0
649;2008-01-03;1;11069;280;16000;;647;0
650;2008-01-05;1;7;122;146209;Abrechn. bis 05.01.;;0
652;2008-01-15;1;2;122;150000;;;0
654;2008-01-25;1;7;122;86943;Restbetrag aus Verkauf Depot Dreba;;0
656;2008-02-02;1;7;122;122975;Abr. bis 02.02.;;0
658;2008-02-03;1;1000;280;86047;;;0
659;2008-02-03;1;11066;280;70047;;658;0
660;2008-02-03;1;11069;280;16000;;658;0
661;2008-02-15;1;2;122;275000;;;0
663;2008-02-15;1;7;122;44585;Abr. bis 15.02;;0
665;2008-03-03;1;1000;280;86047;;;0
666;2008-03-03;1;11066;280;70047;;665;0
667;2008-03-03;1;11069;280;16000;;665;0
668;2008-03-14;1;2;122;1900000;;;0
670;2008-03-15;1;7;122;104040;Abr. bis 15.03;;0
672;2008-03-28;1;2;122;100000;;;0
674;2008-04-03;1;1000;280;86047;;;0
675;2008-04-03;1;11066;280;70047;;674;0
676;2008-04-03;1;11069;280;16000;;674;0
677;2008-04-04;1;2;122;1000;;;0
679;2008-04-15;1;2;122;190000;;;0
681;2008-05-01;1;7;122;257831;Abrechnung bis 01.05.;;0
683;2008-05-03;1;1000;280;86047;;;0
684;2008-05-03;1;11066;280;70047;;683;0
685;2008-05-03;1;11069;280;16000;;683;0
686;2008-05-15;1;2;122;220000;;;0
690;2008-06-03;1;1000;280;86047;;;0
691;2008-06-03;1;11066;280;70047;;690;0
692;2008-06-03;1;11069;280;16000;;690;0
693;2008-06-04;1;7;122;338250;Abrrechnung bis 04.06;;0
695;2008-06-07;1;7;122;89649;Anpasung Saldo;;0
697;2008-06-11;1;11069;280;-12573;Nachzahlung Furkel 2007;;0
698;2008-06-16;1;2;122;120000;;;0
700;2008-06-28;1;7;122;290618;Abrechn bis 27.06;;0
702;2008-07-03;1;1000;280;87047;;;0
703;2008-07-03;1;11066;280;70047;;702;0
704;2008-07-03;1;11069;280;17000;;702;0
705;2008-07-05;1;7;122;113037;Abrechn. bis 04.07;;0
707;2008-07-21;1;2;122;185000;;;0
709;2008-07-24;1;2;122;70000;;;0
711;2008-08-03;1;1000;280;87047;;;0
712;2008-08-03;1;11066;280;70047;;711;0
713;2008-08-03;1;11069;280;17000;;711;0
714;2008-08-09;1;7;122;290070;Abrechnung bis 09.08.;;0
716;2008-08-14;1;7;122;2800000;;;0
718;2008-08-15;1;2;122;200000;;;0
720;2008-08-26;1;7;122;17050;Abrechnung bis 26.08.;;0
722;2008-09-03;1;1000;280;87047;;;0
723;2008-09-03;1;11066;280;70047;;722;0
724;2008-09-03;1;11069;280;17000;;722;0
725;2008-09-04;1;7;122;5000000;;;0
727;2008-09-04;1;10038;190;9000;Auslagen Referatsfeier;;0
728;2008-09-10;1;7;122;183595;Abrechnung b. 10.09.;;0
730;2008-09-12;1;7;122;256062;Ausgleich WP-Geschäft;;0
732;2008-09-15;1;2;122;140000;;;0
734;2008-09-16;1;2;122;190000;;;0
736;2008-10-01;1;1000;125;-1633;;;0
737;2008-10-01;1;10015;125;0;;736;0
738;2008-10-01;1;2107;125;1688;;736;0
739;2008-10-01;1;10054;125;0;;736;0
740;2008-10-01;1;10037;125;55;;736;0
741;2008-10-01;1;2500;125;0;;736;0
742;2008-10-01;1;10015;125;0;;736;0
743;2008-10-01;1;10015;125;0;;736;0
744;2008-10-03;1;1000;280;87047;;;0
745;2008-10-03;1;11066;280;70047;;744;0
746;2008-10-03;1;11069;280;17000;;744;0
747;2008-10-03;1;7;122;175631;Abrechng b 02.10.;;0
749;2008-10-09;1;7;122;730000;;;0
751;2008-10-15;1;2;122;150000;;;0
753;2008-10-17;1;11070;124;84391;Erstattung FA;;0
754;2008-11-02;1;7;122;449273;Abrech. bis 02.11.;;0
756;2008-11-03;1;1000;280;87047;;;0
757;2008-11-03;1;11066;280;70047;;756;0
758;2008-11-03;1;11069;280;17000;;756;0
759;2008-11-14;1;2;122;500000;;;0
761;2008-11-15;1;11015;191;50000;überzahlter Unterhalt;;0
762;2008-12-03;1;1000;280;87047;;;0
763;2008-12-03;1;11066;280;70047;;762;0
764;2008-12-03;1;11069;280;17000;;762;0
765;2008-12-14;1;7;122;391331;Abrech bis 14.12.;;0
767;2008-12-15;1;2;122;180000;;;0
769;2008-12-22;1;7;122;1090000;;;0
771;2008-12-31;1;1000;125;2104;;;0
772;2008-12-31;1;10015;125;0;;771;0
773;2008-12-31;1;2107;125;2104;;771;0
774;2008-12-31;1;10054;125;0;;771;0
775;2008-12-31;1;10037;125;0;;771;0
776;2008-12-31;1;2500;125;0;;771;0
777;2008-12-31;1;10015;125;0;;771;0
778;2008-12-31;1;10015;125;0;;771;0
779;2009-01-03;1;1000;280;87047;;;0
780;2009-01-03;1;11066;280;70047;;779;0
781;2009-01-03;1;11069;280;17000;;779;0
782;2009-01-06;1;2;122;45000;;;0
784;2009-01-08;1;2;122;410000;;;0
786;2009-01-12;1;2;122;210000;;;0
789;2009-01-28;1;10004;124;30278;Erstattung FA;;0
790;2009-01-30;1;2;122;500000;;;0
792;2009-02-02;1;2;122;85000;;;0
794;2009-02-03;1;1000;280;87047;;;0
795;2009-02-03;1;11066;280;70047;;794;0
796;2009-02-03;1;11069;280;17000;;794;0
797;2009-02-06;1;10028;192;-2695;;;0
798;2009-02-13;1;2;122;250000;;;0
