id;name;description;obercatid;supercatid;catclassid;incomecat;ausgeblendet
11082;Immobilien:Whg Steinbach:Versicherungen;;11068;10024;111;0;0
11083;Immobilien:Whg. Oberursel;;10024;10024;111;0;0
11084;Immobilien:Whg. Oberursel:Möbel;;11083;10024;111;0;0
11085;Immobilien:Whg Steinbach:Anschaffung;;11068;10024;111;0;0
11086;Immobilien:Whg. Oberursel:Diverses;;11083;10024;111;0;0
11087;Immobilien:Whg Steinbach:Reparaturen;;11068;10024;111;0;0
11088;Freizeit:Segeln:Bar;;11077;10022;108;0;0
11089;Freizeit:Segeln:Lebensmittel;;11077;10022;108;0;0
11090;Immobilien:Whg. Oberursel:Reparaturen;;11083;10024;111;0;0
11091;Immobilien:Whg. Oberursel:Wohngeld;;11083;10024;111;0;0
11092;And. Einkommen:Miete Oberursel;;10024;10024;115;1;0
11093;Immobilien:Whg. Oberursel:Zinsen;;11083;10024;111;0;0
11094;Immobilien:Whg. Oberursel:Grundsteuer;;11083;10024;105;0;0
11095;Immobilien:Whg. Oberursel:Versicherungen;;11083;10024;111;0;0
11096;And. Einkommen:Miete Kelkheim;;10024;10024;115;1;0
11097;And. Einkommen:Payback;;10001;10001;115;1;0
11098;Freizeit:Segeln:Hotelkosten;;11077;10022;108;0;0
11099;And. Einkommen:LV-Einkuenfte (gesch);;10001;10001;115;1;0
11100;Immobilien:Whg. Oberursel:Abschreibung;;11083;10024;111;0;0
11101;Immobilien:Whg Steinbach:Abschreibung;;11068;10024;111;0;0
11102;Immobilien:Whg. Oberursel:Anschaffung;;11083;10024;111;0;0
11103;Fahrzeuge:PKW-Kosten:Abschreibung;;11104;10021;107;0;0
11104;Fahrzeuge:PKW-Kosten;;10021;10021;107;0;0
11105;Nebenk. Wohnung:Rundfunkgeb.;Rundfunkgebühren;10030;10030;114;0;0
11108;Nebenk. Wohnung:NK Vorauszahlung;Vorauszahlung der Nebenkosten;10030;10030;114;0;0
